ID,title,types,premium,lon,lat,metro_cat,metro,tel,rating,ratingCount,reviewCount,address,timing,description,site
5578afa240c08885048b5acd,Эконом-парикмахерская на метро Автозаводская (Московское центральное кольцо),beauty,False,37.673054,55.70261800000001,"Кожуховская,Автозаводская (Московское центральное кольцо)",Автозаводская (Московское центральное кольцо),79258628344,0.0,0,0,"Москва,  Трофимова,  18а, 1 этаж",ежедневно: 09:00 - 21:00,"       В бесконечной суете иногда нужно выделять время только для себя. Посетив эконом-парикмахерскую на метро Автозаводская (Московское центральное кольцо), вы сможете приятно и с пользой провести время. Для вас представлены самые востребованные услуги от мастеров с большим опытом.  Работа парикмахера предполагает овладение основным перечнем возможных услуг. В эконом-парикмахерской на метро Автозаводская (Московское центральное кольцо) весь штат сотрудников — это специалисты, способные выполнить все виды стрижек на должном уровне.  Тем, кто стремится украсить свои ручки и ножки, здесь предлагают классический маникюр.  Эконом-парикмахерская располагается рядом со станцией метро Автозаводская (Московское центральное кольцо), по адресу Трофимова, 18а. Режим работы: ежедневно: 09:00 - 21:00.     ",trofimova18a.wix.com/pa..
57a9cb5640c088e74d8b86fb,Парикмахерская на метро Кожуховская,beauty,False,37.684048,55.707034,"Кожуховская,Дубровка",Кожуховская,79252444616,0.0,0,0,"Москва,  Южнопортовая,  16",ежедневно: 09:00 - 21:00,"       Парикмахерская на метро Кожуховская радует своих клиентов красивыми и аккуратными стрижками от специалистов с большим опытом. Здесь ваши волосы ждет настоящее преображение, ведь специализированный уход за локонами — это основная функция мастеров парикмахерской.  В профессии парикмахера главное — овладение основным перечнем предоставляемых услуг. В парикмахерской на метро Кожуховская работают специалисты, которые выполнят все виды стрижек на должном уровне.  Парикмахерская находится рядом со станцией метро Кожуховская, по адресу Южнопортовая, 16. График работы: ежедневно: 09:00 - 21:00.     ",-
58e1896140c0886f708bac17,Салон-парикмахерская на метро Кожуховская,beauty,False,37.683999,55.706959999999995,"Кожуховская,Дубровка",Кожуховская,79252444616,0.0,0,0,"Москва,  Южнопортовая,  16",ежедневно: 10:00 - 20:00,"       В шумной городской суете иногда нужно баловать себя приятными услугами. Посетив салон-парикмахерскую на метро Кожуховская, вы сможете приятно и с пользой провести время. Для вас представлены самые популярные услуги от мастеров с большим опытом.       Салон-парикмахерская располагается рядом со станцией метро Кожуховская, по адресу Южнопортовая, 16. Часы работы с ежедневно: 10:00 - 20:00.     ",-
58e1866740c0886f708ba196,Студия красоты Rovolos на метро Кожуховская,beauty,False,37.685387,55.70514,"Кожуховская,Дубровка",Кожуховская,79264918970,0.0,0,0,"Москва,  Трофимова,  35/20",ежедневно: 10:00 - 21:00по предварительной записи: пн-вс,"       В шумной городской суете иногда нужно баловать себя приятными услугами. Посетив студию красоты Rovolos, вы сможете с пользой для себя провести время. Салон предлагает самые популярные услуги от мастеров с большим стажем работы.       Студия красоты находится рядом со станцией метро Кожуховская, по адресу Трофимова, 35/20. Часы работы с ежедневно: 10:00 - 21:00; по предварительной записи: пн-вс.     ",rovolos.ru
50090bd63c72ddf87e000016,Сельерити Style,beauty,False,37.677517,55.736839,"Римская,Крестьянская застава,Пролетарская",Крестьянская застава,74955851064,4.1,621,404,"Москва,  ул. Малая Калитниковская,  д. 5, вход с торца",ежедневно: 10:00 - 21:00,"      Мастера салона «Сельерити Style» на Таганке с удовольствием воплотят в реальность ваши самые смелые мечты.  Мы поможем каждой женщине выглядеть безупречно!  У нас работают высокопрофессиональные парикмахеры-стилисты, визажисты, мастера маникюра, косметологи и массажисты. Вам будет предложен широкий спектр услуг, направленных на создание идеального образа.  В парикмахерском зале вас ждут креативные и классические стрижки, окрашивание, тонирование, блондирование, колорирование, мелирование, spa-программы по уходу за волосами, биоламинирование, мужской парикмахер.  Наши мастера работают на средствах Lebel, Estel, Matrix, Redken. В кабинете ногтевого сервиса вам с удовольствием выполнят классический, европейский или аппаратный маникюр и педикюр с применением средств марки OPI, Irisk Professional, CND (Shellac). Визажисты салона предложат перманентный макияж, наращивание и окраску ресниц.  В кабинете косметологии вы можете сделать эпиляцию, бикини-дизайн, пирсинг, массаж.  Работает солярий.  Обратите внимание на наши скидки и специальные предложения в специальном разделе сайта «Акции недели»!  Записаться на процедуры можно онлайн или по телефону.  Ждем вас ежедневно с 10:00 до 21:00.                  ",seleriti-style.obiz.ru
53a0970640c08838228b4752,Салон красоты Golden Locks на улице Талалихина,beauty,False,37.675437,55.73729300000001,"Римская,Крестьянская застава,Пролетарская",Крестьянская застава,74956701297,3.3,13,1,"Москва,  Талалихина,  6/2, цокольный этаж",ежедневно: 10:00 - 21:00,"      Салон красоты «Golden Locks», расположенный на улице Талалихина, предлагает качественные парикмахерские и косметологические услуги, а также услуги ногтевого сервиса. Вежливые администраторы всегда рады ответить на интересующие вас вопросы и посоветовать наиболее подходящие процедуры. Грамотные мастера сделают вам бережное окрашивание, подходящую стрижку, модную укладку, а также кератиновое выпрямление. В кабинете ногтевого сервиса вы можете выбрать способ наращивания и покрытия ногтей. Опытный косметолог подберет для вас индивидуальные процедуры по уходу за кожей лица, сделает пилинг, эпиляцию, а также массаж лица.    ",golden-locks.ru/
58e188ae40c0886f708baab5,Студия маникюра Crazy Nails,beauty,False,37.674757,55.737593000000004,"Римская,Крестьянская застава,Пролетарская",Крестьянская застава,79299770797,1.3,6,5,"Москва,  Талалихина,  2/1 ст7, 1 этаж",ежедневно: 10:00 - 22:00,"       В бесконечной суете иногда нужно выделять время только для себя. Посетив студию маникюра Crazy Nails (рейтинг на Zoon — 1), вы сможете приятно и с пользой провести время. Для вас представлены самые востребованные услуги от мастеров с большим опытом.  Тем, кто стремится украсить свои ручки и ножки, здесь предлагают классический маникюр.  Студия маникюра располагается рядом со станцией метро Крестьянская застава, по адресу Талалихина, 2/1 ст7. Режим работы: ежедневно: 10:00 - 22:00.     ",-
57a9cb5240c088e74d8b8687,Тату-студия Simple Black,beauty,False,37.674623,55.73775799999999,"Римская,Крестьянская застава,Пролетарская",Крестьянская застава,79265557476,1.0,1,1,"Москва,  Талалихина,  2/1 к6",круглосуточно,"       В шумной городской суете иногда нужно баловать себя приятными услугами. Посетив тату-студию Simple Black (рейтинг на Zoon — 1), вы сможете приятно и с пользой провести время. Для вас представлены самые популярные услуги от мастеров с большим опытом.   А если вы хотите нанести на тело тату, мастера своего дела всегда готовы помочь вам в создании образа.     Тату-студия располагается рядом со станцией метро Авиамоторная, по адресу Талалихина, 2/1 к6. Часы работы с круглосуточно.     ",Вконтакте
576116891a3ae5ae3c8b4571,Салон Точка Красоты в ТЦ Афимолл сити,beauty,False,37.538575,55.749030000000005,"Деловой центр,Международная,Выставочная,Деловой центр (Московское центральное кольцо)",Деловой центр,79037401233,3.8,18,4,"Москва,  Пресненская набережная,  2, 1 этаж","пн-чт, вс: 10:00—22:00; пт-сб: 10:00—23:00","      Сеть «Точка красоты» — это доступные парикмахерские услуги. Мы активно развиваемся и сейчас салоны под нашим брэндом открываются во многих городах России. На данный момент «Точка красоты» является самым динамично развивающимся бизнесом в сфере предоставления бьюти-услуг эконом-класса. В чем принципиальные отличия «Точки красоты» от других салонов? Мы действительно держим низкие цены. Мы добились этого благодаря постоянному расширению, а также благодаря большому количеству мастеров, работающих в одно время. Вы можете прийти в салон в ТЦ Афимолл и постричься или сделать маникюр без предварительной записи. Это удобно как для постоянно занятых офисных сотрудников, так и для всей семьи. «Точка красоты» — семейное заведение. У нас работают детские мастера, а с нашей семейной дисконтной картой вы можете экономить еще больше.«Точка красоты» подойдет тем, кто ценит свои деньги и время. Нас легко найти, к нашим мастерам не нужно записываться, мы постоянно развиваем свое умение. Наша специализация – волосы. Мы знаем о них все. Найдите свою «Точку красоты». «Точку красоты» для всей вашей семьи.    ",centr-tochka-krasoty.ob..
53c4899040c08812788b48c9,Центр красоты Стилистика в ТЦ Афимолл сити,beauty,False,37.540265999999995,55.749035,"Деловой центр,Международная,Выставочная,Деловой центр (Московское центральное кольцо)",Деловой центр,74957279834,3.4,17,25,"Москва,  Пресненская набережная,  2, 4 этаж",пн-чт: 09:00—22:00; пт: 09:00—23:00; сб: 10:00—23:00; вс: 10:00—22:00 и до последнего клиента,"      «СТИЛИСТИКА»: ФОРМАТ СОВРЕМЕННОЙ КРАСОТЫ.  Сеть студий красоты СТИЛИСТИКА объединила в себе команду профессионалов-единомышленников, влюбленных в свое дело. Обучение в лучших академиях индустрии красоты позволяет нашим мастерам быть в курсе последних модных тенденций и совершенствовать качество оказываемых услуг.  Концепция Сети — обеспечивать лучшее качество и индивидуальный подход при доступных ценах. С этой идеей и создавалась наша компания.  Наши мастера заботятся об экономии вашего времени и предлагают возможность несколько процедур одновременно.   Огромное внимание уделяется безопасности используемого оборудования и материалов. СТИЛИСТИКА сотрудничает с лучшими мировыми брендами и использует современное оборудование, а все инструменты проходят тщательную санитарную обработку и стерилизацию перед каждым клиентом.  Посещая студии красоты СТИЛИСТИКА, вы становитесь обладателем нашей бонусной карты. Участие в программе лояльности даёт право накапливать бонусы при каждом посещении Студии и использовать их во время последующих визитов. Сеть студий «СТИЛИСТИКА» — выбор современных людей, которые ценят своё время и хотят всегда быть в тренде!   Студия красоты СТИЛИСТИКА располагается на станции метро Деловой центр по адресу: Москва, Пресненская набережная, 2, ТРЦ АФИМОЛЛ Сити, 4 этаж                  ",stilistika.com/
