ID,title,types,premium,lon,lat,metro_cat
4ffd2a8a3c72dd1c61000000,Салон красоты PAUL MITCHELL на Ленинском проспекте,beauty,True,37.53815,55.680523,"Профсоюзная,Новые Черёмушки,Университет"
571d8dd89147944c108b456c,Студия красоты SEREBRO на Профсоюзной улице,beauty,True,37.560547,55.674159,"Профсоюзная,Новые Черёмушки"
4f145fcff89c60510c000911,Салон Арт-гармония на улице Кедрова,beauty,True,37.575663,55.681726,"Профсоюзная,Академическая"
5806e7d88f7a7333308b456d,Центр красоты и здоровья Beauty Practice,beauty,True,37.553199,55.689659,"Профсоюзная,Академическая,Университет"
500613243c72dd7e40000007,Клуб красоты Wellness-Daily Live на метро Новые Черёмушки,beauty,True,37.536335,55.676357,"Профсоюзная,Новые Черёмушки,Университет"
595db2dbd5870a3e4c3525dd,Парикмахерская для мужчин Барбер клуб на Профсоюзной улице,beauty,True,37.56768,55.681676,"Профсоюзная,Академическая"
52c0228a40c0886b7c8bd392,Салон красоты Моне на Профсоюзной улице,beauty,True,37.565434,55.681494,"Профсоюзная,Академическая"
518759f2a0f3023422000027,Салон красоты Тока Бока на метро Профсоюзная,beauty,False,37.570404,55.68028,"Профсоюзная,Академическая"
4f145fddf89c60510c000b09,Салон Нега на улице Кржижановского,beauty,False,37.571168839932,55.679342389734,"Профсоюзная,Академическая"
55dad81c40c08881758b6171,"Салон красоты NP Club на Профсоюзной улице, 7/12",beauty,False,37.56989043206,55.683836539655,"Профсоюзная,Академическая"
5208a5bea0f302313f000008,Салон Время Красоты на Ломоносовском проспекте,beauty,False,37.549314,55.686375,"Профсоюзная,Университет"
5578af9c40c08885048b595f,Салон красоты PAUL MITCHELL на Севастопольском проспекте,beauty,False,37.576228,55.663949,"Профсоюзная,Новые Черёмушки,Каховская,Нахимовский проспект,Севастопольская"
4f9895413c72dd7a72000067,Студия красоты и здоровья,beauty,False,37.569868,55.683758,"Профсоюзная,Академическая"
5575441f90e3e22e6b8b4570,Салон красоты Триада на улице Кржижановского,beauty,False,37.563092,55.682743,"Профсоюзная,Академическая"
56f23d97d7d04361418b456a,Салон красоты Рейна на улице Вавилова,beauty,False,37.545868,55.679319,"Профсоюзная,Новые Черёмушки"
54f00d99ffe94d960e8b4588,Студия микроблейдинга Натальи Подлуцкой метро Профсоюзная,beauty,False,37.562021,55.683945,"Профсоюзная,Академическая"
5339375c40c088b47f8b4b17,Студия маникюра Лены Лениной в ТЦ Триумфальный,beauty,False,37.549932,55.682979,Профсоюзная
52f0e06440c0880b758b50bd,Студия маникюра Мягкий квадрат на улице Ивана Бабушкина,beauty,False,37.559703,55.682573,Профсоюзная
4f145fc1f89c60510c0006f9,Салон красоты Anny Beaute,beauty,False,37.536041,55.678484,"Профсоюзная,Новые Черёмушки,Проспект Вернадского,Университет"
4f145fd0f89c60510c00093f,Центр здоровья и красоты Астория Бьюти в Черёмушках,beauty,False,37.577417,55.672261,Профсоюзная
54efef87e9fddd80088b4581,Студия Анны Ключко на метро Профсоюзная,beauty,False,37.566351,55.673778,"Профсоюзная,Новые Черёмушки"
5535d6f7695f36e2238b4568,"Кабинет студия скульптуры тела на Университет, Профсоюзная",beauty,False,37.546111,55.679417,"Профсоюзная,Новые Черёмушки"
515a957da0f3024e48000014,Клиника молодости и красоты Лии Гавашели на улице Гарибальди,beauty,False,37.53576,55.678534,"Профсоюзная,Новые Черёмушки,Проспект Вернадского,Университет"
4f145fc9f89c60510c00083b,Салон Nota Bene на метро Академическая,beauty,False,37.571161,55.683628,"Профсоюзная,Академическая"
577c883d7b8909d24b8b4569,Имидж-лаборатория Персона на улице Гарибальди,beauty,False,37.53738,55.677275,"Профсоюзная,Новые Черёмушки,Университет"
5208a95fa0f302963e00002e,Салон Время красоты на улице Гарибальди,beauty,False,37.553406,55.672158,"Профсоюзная,Новые Черёмушки"
564c23694d3fa5b9328b4568,Салон Азбука Красоты на метро Академическая,beauty,False,37.571588,55.684199,"Профсоюзная,Академическая"
52a5396440c088a4398b45a3,Салон красоты Верона на улице Цюрупы,beauty,False,37.569857,55.667243,"Профсоюзная,Новые Черёмушки"
546c3d47a298fd122e8b4592,Студия маникюра VESNA на улице Профсоюзная,beauty,False,37.571588,55.684199,"Профсоюзная,Академическая"
57440e3d01f48829428b4578,Салон аппаратной косметологии Икона Красоты на Нахимовском проспекте,beauty,False,37.577472,55.673372,Профсоюзная
4f145fdbf89c60510c000ac7,Салон красоты M`art studio на метро Профсоюзная,beauty,False,37.566153,55.681732,"Профсоюзная,Академическая"
588056f905de38c94d8b4573,Салон красоты Искусство Красоты в Академическом районе,beauty,False,37.558652,55.684402,"Профсоюзная,Академическая"
4fe45a953c72ddd470000003,Студия красоты Азбука стиля на метро Академическая,beauty,False,37.563757,55.68681,"Профсоюзная,Академическая"
582d4cdde69c0ca04b8b4572,Студия красоты Красное яблоко на метро Профсоюзная,beauty,False,37.565955,55.677346,Профсоюзная
4f145fe9f89c60510c000c91,Салон красоты Хамелеон на улице Гарибальди,beauty,False,37.538073,55.677062,"Профсоюзная,Новые Черёмушки"
5339374b40c088b47f8b48ee,Салон красоты Монро на улице Кржижановского,beauty,False,37.578803,55.678375,"Профсоюзная,Академическая"
52c0255340c0886b7c8c04e4,Специализированная клиника ДолгоЛетМед на Профсоюзной,beauty,False,37.560435,55.673581,"Профсоюзная,Новые Черёмушки"
5114cd1ca0f302a91a00000d,Spa-салон Астериас,beauty,False,37.548023,55.677636,"Профсоюзная,Новые Черёмушки"
528c1f6840c0889e118b4573,Салон красоты Натали на улице Вавилова,beauty,False,37.546661,55.678288,"Профсоюзная,Новые Черёмушки"
4f145fc4f89c60510c000787,Институт красоты Элия Грация на Новочерёмушкинской улице,beauty,False,37.567743,55.673549,"Профсоюзная,Новые Черёмушки"
5200645aa0f302df44000016,ViviAmo,beauty,False,37.565933,55.678882,Профсоюзная
51d24759a0f302e17c00002a,Салон Вуаль на улице Кржижановского,beauty,False,37.577679734677,55.677831468278,"Профсоюзная,Академическая"
4f145fdff89c60510c000b39,Салон маникюра и педикюра Пальчики на метро Академическая,beauty,False,37.568902,55.684677,"Профсоюзная,Академическая"
522d78d140c08828698b4571,Маникюрный салон Express Nails на Профсоюзной улице,beauty,False,37.569723,55.683605,"Профсоюзная,Академическая"
519ed4dca0f302bc2e000024,Салон Жаклин на Профсоюзной улице,beauty,False,37.558108,55.672559,"Профсоюзная,Новые Черёмушки"
5578b00340c08885048b68b3,Салон красоты Магия на улице Кржижановского,beauty,False,37.564352,55.682645,"Профсоюзная,Академическая"
5200848ea0f3025e4c000036,Маникюрный салон Манхэттен в ТЦ Триумфальный,beauty,False,37.549663,55.68305,Профсоюзная
4f145fcdf89c60510c0008d9,Салон Аксель,beauty,False,37.531146,55.677638,"Профсоюзная,Новые Черёмушки,Проспект Вернадского,Университет"
51f9d2f5a0f3026405000029,Экспресс-студия маникюра и педикюра Nail`s Beauty в ТЦ Панорама,beauty,False,37.554856,55.671239,"Профсоюзная,Новые Черёмушки"
5191b06da0f302ee5d000024,Салон Лотос на улице Кедрова,beauty,False,37.572071,55.683518,"Профсоюзная,Академическая"
544dd4bebaf4ba20148b45af,Салон красоты YVES ROCHER на Профсоюзной улице,beauty,False,37.564248,55.678458,Профсоюзная
569df1abeb1ac8603b8b4576,Салон Точка Красоты на улице Вавилова,beauty,False,37.549932,55.682979,Профсоюзная
587b683040c0886e718e293e,Студия красоты Татьяны Шумиловой на улице Гарибальди,medical,False,37.539266,55.67694,"Профсоюзная,Новые Черёмушки"
51a41b4ba0f302c431000045,Салон Spletni,beauty,False,37.533983,55.676408,"Профсоюзная,Новые Черёмушки,Проспект Вернадского,Университет"
52c0267740c0886b7c8c1a28,Спа салон и массажа Изумрудный Будда на Нахимовском проспекте,beauty,False,37.577481,55.672241,Профсоюзная
54750c1240c0885b208b45af,Салон красоты La Dolce Vita на улице Кржижановского,beauty,False,37.560924,55.68304,"Профсоюзная,Академическая"
51fb32d4a0f302b04f0000cb,Салон красоты Диманж на улице Панфёрова ,beauty,False,37.5447,55.68248,"Профсоюзная,Новые Черёмушки,Университет"
5339375140c088b47f8b4992,Салон тайского массажа Вай Тай на Ленинском проспекте,beauty,False,37.532268,55.678278,"Профсоюзная,Новые Черёмушки,Проспект Вернадского,Университет"
51f8c533a0f302264900002c,Студия маникюра Nails Home в ТЦ Олиан,beauty,False,37.570296,55.685409,"Профсоюзная,Академическая"
51e8c10fa0f302ea1c000000,Студия красоты PROцветание,beauty,False,37.568168,55.684745,"Профсоюзная,Академическая"
552885e5df698e79628b45a9,"Студия скульптуры тела на Профсоюзной улице, 17 к 1",beauty,False,37.565609,55.678779,Профсоюзная
5195d230a0f302a024000000,Салон Nouvelle в Черёмушках,beauty,False,37.554856,55.671239,"Профсоюзная,Новые Черёмушки"
54750c1540c0885b208b464f,Салон красоты Love Studio на улице Кедрова,beauty,False,37.576657,55.682367,"Профсоюзная,Академическая"
4ff5a8493c72dde81500000d,Центр красоты На Нахимовском на метро Профсоюзная,beauty,False,37.558217,55.681177,Профсоюзная
55dad80540c08881758b5d95,Студия красоты Оранжевый рай на улице Кржижановского,medical,False,37.563010717859,55.681386211334,"Профсоюзная,Академическая"
4fe08a9e3c72dd8053000012,Салон Карамель на Нахимовском проспекте,beauty,False,37.587254,55.670155,"Профсоюзная,Нагорная,Нахимовский проспект"
576111601a3ae59a398b457a,Студия массажа Мята на метро Новые Черемушки,beauty,False,37.5715038,55.6675495,"Профсоюзная,Новые Черёмушки"
544955ce9d2fd4250f8b458b,"Салон красоты на Профсоюзной улице, 13",beauty,False,37.566467,55.680554,"Профсоюзная,Академическая"
518a0175a0f302de5b000018,Салон Блескъ на Профсоюзной улице,beauty,False,37.563521,55.679101,Профсоюзная
5578b01040c08885048b6a89,Салон красоты Lola-Salon,beauty,False,37.562252,55.68419,"Профсоюзная,Академическая"
5578af9b40c08885048b5946,Салон красоты София на улице Вавилова,beauty,False,37.548176,55.680839,"Профсоюзная,Новые Черёмушки"
591d08f00d28f31bc7286583,Barbershop OldBoy на улице Гарибальди,beauty,False,37.53738,55.677275,"Профсоюзная,Новые Черёмушки,Университет"
5002df3a3c72dd351d000012,Art`e,beauty,False,37.577939,55.673222,Профсоюзная
58e1881e40c0886f708ba780,Студия красоты ExpoBeauty на Нахимовском проспекте,beauty,False,37.586113,55.671302,"Профсоюзная,Новые Черёмушки,Нагорная,Нахимовский проспект"
4ffce1c23c72ddae5d000011,Салон Фурор,beauty,False,37.576978,55.67047,"Профсоюзная,Новые Черёмушки"
51490defa0f302ca28000013,Салон красоты Белиссимо на Профсоюзной улице,beauty,False,37.568813,55.682403,"Профсоюзная,Академическая"
5201ef9ca0f302ee16000000,Салон красоты Краса в Черёмушках,beauty,False,37.578639,55.664607,"Профсоюзная,Новые Черёмушки,Каховская,Нахимовский проспект,Севастопольская"
57a9cb6940c088e74d8b895d,"Салон красоты Beauty SPA by World Class на Профсоюзной улице, 31 стр 5",beauty,False,37.559478,55.672098,"Профсоюзная,Новые Черёмушки"
58e1865e40c0886f708ba14e,Студия маникюра и педикюра Miya Nails на метро Профсоюзная,beauty,False,37.560435,55.673581,"Профсоюзная,Новые Черёмушки"
54750c1540c0885b208b464b,Студия красоты Лата,beauty,False,37.533411,55.677739,"Профсоюзная,Новые Черёмушки,Проспект Вернадского,Университет"
4fdf65ea3c72ddf629000007,Салон Вдохновение на улице Кржижановского,beauty,False,37.581112,55.67504,"Профсоюзная,Академическая"
5163cbdba0f302de5200000e,Парикмахерская Стрелиция на метро Академическая,beauty,False,37.565078,55.685883,"Профсоюзная,Академическая"
52c023c340c0886b7c8be872,"Салон красоты Schwarzkopf на Перекопской улице, 17 к1",beauty,False,37.572709,55.660357,"Профсоюзная,Новые Черёмушки,Каховская,Севастопольская"
5434848640c0889a328b4593,UPMAKEUP на улице Перекопской,beauty,False,37.573914,55.662562,"Профсоюзная,Новые Черёмушки,Каховская"
57d6ce1040c0882a298b7fbf,Спа салон Соляная пещера на метро Профсоюзная,beauty,False,37.547671,55.681276,"Профсоюзная,Новые Черёмушки"
5578b01340c08885048b6b01,Студия красоты Эстоль на метро Профсоюзная,beauty,False,37.548381,55.686839,"Профсоюзная,Университет"
5578b00040c08885048b6813,Салон красоты Фитнес-Люди на Профсоюзной улице,beauty,False,37.561904,55.674315,"Профсоюзная,Новые Черёмушки"
507fa7783c72dd8e2a000008,Центр здоровья и красоты Живая вода на метро Академическая,beauty,False,37.570861,55.679038,"Профсоюзная,Академическая"
51a820e9a0f3024078000057,Салон МиНелли на улице Цюрупы,beauty,False,37.569098,55.66717,"Профсоюзная,Новые Черёмушки"
57a9ca0d40c088e74d8b6278,Студия Красоту навожу,beauty,False,37.571029,55.683679,"Профсоюзная,Академическая"
