ID,title,types,premium,lon,lat,metro_cat,metro,tel,rating,ratingCount,reviewCount,address,timing,description,site
514bb4dfa0f302450e00000d,Салон тайского массажа Thai Seasons,beauty,False,37.436133,55.893046999999996,Планерная,Планерная,74959797907,4.1,12,9,"Химки,  Энгельса,  27, 1 этаж",ежедневно: 10:00 - 22:00,"      Отдохнуть в комфортной обстановке, сбежав в сказочный мир покоя и блаженства от суеты и шума мегаполиса, предлагает салон тайского массажа и спа «Тай Сизонс», расположившийся в Химках. Здесь всегда царит атмосфера спокойствия и гармонии, вас встретят с поистине королевским почетом. В салоне представлен широкий выбор спа-программ для тела и души, в том числе, программы для сильной половины человечества, программы для двоих и для четверых. Разработаны эффективные программы коррекции фигуры, позволяющие избавиться от лишних сантиметров в короткие сроки. Имеются в продаже подарочные сертификаты, действуют клубные карты.http://vk.com/club49896974    ",www.thai-seasons.ru
540f3a9040c088c8138b4804,"Парикмахерская , на Спартаковской улице, 16",beauty,False,37.444658000000004,55.885006999999995,Планерная,Планерная,79268993090,2.0,5,1,"Химки,  Спартаковская,  16",ежедневно: 09:00 - 20:00,"      Парикмахерская с невысокими ценами, вежливым и внимательным персоналом. Профессионалы своего дела помогут вам преобразиться, сделать красивую укладку, стрижку, маникюр, педикюр и т.п.    ",-
4febf07f3c72dd8f3e000013,Салон Оазис,beauty,False,37.427483,55.884029000000005,Планерная,Планерная,74957931455,3.8,20,11,"Химки,  Панфилова,  4, 1 этаж",пн-сб: 09:00—21:00; вс: 10:00—21:00,"      «Оазис» — это не просто название, это идея. Это место, куда вы можете прийти и полностью отключиться от городской суеты. Роскошная обстановка создает невероятно релаксирующую атмосферу. Центр успешно работает с 2004 года. Специалисты центра удовлетворят запросы даже самых требовательных клиентов. Основными услугами центра красоты «Оазис» являются: хаммам (турецкая баня, мыльный массаж, аромомассаж и пилинг у турецкого мастера Гийассетина Бейтера); уход за лицом (контурная пластика, ботокс, биоревитализация, мезотерапия, различные способы очищения, восстановление баланса кожи, успокаивающие и тонизирующие процедуры, ОДТ, домашний уход за кожей лица, шеи и зоны декольте); уход за телом (массаж, коррекция фигуры, душ Шарко, домашний уход за телом); уход за волосами (специалисты центра решают самые сложные и нестандартные задачи); уход за руками и ногами (SPA- педикюр и SPA- маникюр, наращивание и дизайн ногтей, профессиональный и домашний уход); загар (вертикальный солярий); подарочные сертификаты. По необходимости и только по предварительной записи центр может работать до 01:00.    ",-
5200bdf2a0f302775c000048,Салон красоты Кармель в Куркино,beauty,False,37.393063,55.889677,Планерная,Планерная,79169926642,3.6,28,8,"Москва,  Воротынская,  14, 1 этаж",ежедневно: 10:00 - 21:00,"      Салон красоты «Кармель» на улице Воротынской предлагает вам огромный выбор услуг опытных мастеров. Для вас здесь работают мастера маникюра, парикмахеры-универсалы и косметологи. В салоне постоянно проходят различные акции и скидки. «Кармель» работает ежедневно, с девяти утра до девяти вечера. Здесь всегда рады вам!    ",www.karmel.pro
52c025ce40c0886b7c8c0e70,Салон красоты Лана на Туристской улице,beauty,False,37.421458,55.857389000000005,Планерная,Планерная,74954940091,3.6,13,2,"Москва,  Туристская,  20 к1, 1 этаж",ежедневно: 10:00 - 20:00,"      Услуги парикмахеров-универсалов предлагает своим клиентам парикмахерская «Лана», расположенная на Туристской улице. Здесь работают опытные профессионалы, которые готовы помочь в любом профессиональном вопросе. Парикмахерская работает как в будние дни, так и в выходные.    ",-
557633cf5e1080f61c8b4573,Студия маникюра и педикюра Nail Berry,beauty,False,37.391405,55.896393999999994,Планерная,Планерная,-,3.7,41,12,"Москва,  Соколово-Мещерская улица,  14",ежедневно: 10:00 - 22:00по предварительной записи,"       В шумной городской суете иногда нужно баловать себя приятными услугами. Посетив студия маникюра и педикюра Nail Berry (рейтинг на Zoon - 3.6), вы сможете с пользой для себя провести время. Салон предлагает самые популярные услуги от мастеров с большим стажем работы.  Тем, кто стремится украсить свои пальчики на руках и ногах, здесь предлагают классический маникюр и педикюр, укрепление ногтей шеллаком. Стоимость маникюра — от 450 рублей. А к тем, кому знакома проблема нежелательных волосков на теле, на помощь придет классическая и сахарная эпиляция  Что касается стоимости процедур, то уровень цен в салоне средний.  Студия маникюра и педикюра находится рядом со станцией метро Планерная, по адресу Соколово-Мещерская улица, 14. График работы: ежедневно: 10:00 - 22:00; по предварительной записи.     ",www.instagram.com/nail...
57be715920003e79668b456b,"Соляная пещера Ассоль на Ленинградском шоссе, 128",beauty,False,37.461952000000004,55.869448,"Планерная,Речной вокзал",Речной вокзал,74993943127,3.2,6,0,"Москва,  Ленинградское шоссе,  128, 1 этаж",ежедневно: 08:00 - 20:00по предварительной записи,      Сеансы галотерапии. Посещение для детей и взрослых. Семейные абонементы.    ,www.assol-npo.ru
540f3a7e40c088c8138b4703,Салон Матрёшка на метро Планерная,beauty,False,37.427164000000005,55.884388,Планерная,Планерная,79264036451,2.5,6,1,"Химки,  Панфилова,  4, 2 этаж",ежедневно: 10:00 - 20:00,"       В бесконечной суете иногда нужно выделять время только для себя. Посетив салон Матрёшка (рейтинг на Zoon - 2.5), вы сможете приятно и с пользой провести время. Для вас представлены самые востребованные услуги от мастеров с большим опытом.  Работа парикмахера предполагает овладение основным перечнем возможных услуг. В салоне Матрёшка весь штат сотрудников — это специалисты, способные выполнить мужские и женские стрижки, укладку, вечернюю или свадебную прическу, окрашивание, мелирование, плетение кос, оформление бороды, выпрямление и восстановление, химическую завивку и комплексные процедуры по уходу на должном уровне. Здесь работают не только со взрослыми, но и с самыми юными клиентами. Мастера профессионально найдут подход к деткам так, чтобы стрижка принесла радость.  Тем, кто стремится привести в порядок свои ручки и ножки, здесь предлагают классический маникюр и педикюр, аппаратный маникюр, укрепление ногтей гель-лаком, разработку индивидуального дизайна ногтей.  Если вы хотите придать взгляду выразительность с помощью наращивания и сделать окрашивание бровей, то мастера своего дела всегда помогут вам в создании образа.  Бронзовый загар — мечта каждой девушки. И добиться его вам поможет регулярный поход в солярий. В салонной сфере подобные процедуры являются наиболее востребованными среди женской половины клиенток. А к тем, кому близка проблема быстро отрастающих волосков на теле, на помощь придет классическая и сахарная эпиляция  Салон располагается рядом со станцией метро Планерная, по адресу Химки, Панфилова, 4. Режим работы: ежедневно: 10:00 - 20:00.     ",Вконтакте
540f3a7e40c088c8138b4700,Салон красоты Ваниль в Химках,beauty,False,37.442567,55.894633,Планерная,Планерная,79150000550,4.7,7,3,"Химки,  Энгельса,  7/15",ежедневно: 09:00 - 21:00,"       В салоне красоты Ваниль (рейтинг на Zoon - 4.8) предоставляют первоклассное обслуживание для своих клиентов. В салоне вас ждет большой выбор услуг для красоты волос и тела. Опытные косметологи помогут вам вновь засветиться от счастья.   В парикмахерском зале вы сможете сделать мужскую модельную стрижку, аккуратную укладку, модное окрашивание, мелирование и тонирование, тонирование и мелирование, долговременную укладку и химическую завивку волос. Стоимость мужской стрижки - от 400 рублей. У мастера маникюра вам смогут сделать красивый маникюр, придать ухоженный вид ногтям на ногах, нанести шеллак, сделать наращивание ногтей. Стоимость маникюра — от 400 рублей. А если вы хотите нанести перманент на лицо, главные специалисты по красоте всегда готовы помочь вам в создании образа. У косметолога вы сможете приобрести бронзовый голливудский загар, удалить надоедливые волоски на теле, поухаживать за своей кожей, сделать чистку лица, порелаксировать на сеансе массажа, заняться своим здоровьем на курсе антицеллюлитного массажа, сделать пилинг.  Цены здесь средние по городу.   Салон красоты находится рядом со станцией метро Планерная, по адресу Химки, Энгельса, 7/15. Часы работы с ежедневно: 09:00 - 21:00.                   ",www.vaneel.ru
593a129a03644522ee7963a0,Студия маникюра Nails Bar в Химках,beauty,False,37.429268,55.88685699999999,Планерная,Планерная,79262884058,3.8,14,3,"Московская область, Химки, улица Горшина, 2",ежедневно: 09:30 - 21:30,"       В шумной городской суете иногда нужно баловать себя приятными услугами. Посетив студию маникюра Nail's Bar, вы сможете с пользой для себя провести время. Салон предлагает самые популярные услуги от мастеров с большим стажем работы.  Тем, кто стремится привести в порядок свои пальчики на руках и ногах, здесь предлагают классический маникюр и педикюр, аппаратный маникюр и педикюр, укрепление ногтей шеллаком или гелем, разработку собственного дизайна ногтей. Стоимость маникюра — от 150 рублей.  Если вы хотите сделать окрашивание бровей и ресниц, то визажисты и стилисты всегда готовы помочь вам в создании образа.  Что касается стоимости процедур, то уровень цен в салоне низкий.  Студия маникюра находится рядом со станцией метро Планерная, по адресу Московская область, Химки, улица Горшина, 2. График работы: ежедневно: 09:30 - 21:30.     ",nailsbars.ru
